record_label_low,occurrences,record_label_major
Society's Plague,5,Independent
LOS MESONEROS,5,Independent
1811142 Records DK,5,Independent
Sociedad Fonográfica Subterránea,5,Independent
Dan Siegel Music,5,Sony Music Entertainment
Socialite Fiasco Music,5,Independent
Paradise In Exile,5,Universal Music Group
Damn Mondays,5,Independent
Paradise Lost Records,5,Sony Music Entertainment
LOUDPVCK Music,5,Universal Music Group
Damian Syslo,5,Independent
I Exalt,5,Universal Music Group
Paper Wings Records,5,Independent
Sobry Music,5,Independent
Galactic Pegasus,5,Independent
Panic! Digital Music,5,Independent
Solar Tech Records,5,Independent
Dance Plant Records Inc,5,Warner Records
BiG ReD VaN Music,5,Independent
Sol do meio dia [dist. Tratore],5,Independent
Panychida,5,Independent
Wilby Productions,5,Independent
Fais Et Ris,5,Independent
Papadosio,5,Independent
Bideri/Sunny Bit,5,Independent
Soft Sound Music,5,Independent
Soft Christmas,5,Sony Music Entertainment
Soft Boy Records,5,Independent
Dance Flavour,5,Independent
minusbaby,5,Independent
LOVEiS Entertainment,5,Sony Music Entertainment
Sonic Tone Records,5,Sony Music Entertainment
Parcha,5,Independent
mena music,5,Sony Music Entertainment
Daithi,5,Independent
Paraty Productions,5,Independent
So Far As I Know,5,Sony Music Entertainment
Maison Mono,5,Independent
Paravox,5,Sony Music Entertainment
Parco Della Musica Records,5,Independent
Big Hooley Records,5,Independent
Pardal Produções,5,Universal Music Group
Big Muddy Records,5,Universal Music Group
Daijoubu Records,5,Warner Records
GaMetal,5,Independent
Big Pea & A Dime Music,5,Universal Music Group
Parked In Hell,5,Independent
Maj-Art,5,Independent
Paramour,5,Sony Music Entertainment
Sobrenadar,5,Sony Music Entertainment
DamaJuana,5,Independent
LOWFREQMX,5,Independent
LP Entertainment,5,Universal Music Group
SoSure Music,5,Independent
1817863 Records DK,5,Independent
SoGreatAndPowerful,5,Independent
LRH Music,5,Sony Music Entertainment
SoFlo Entertainment,5,Independent
Dallas Records,5,Independent
So Sound Recordings,5,Independent
DallyBoy Records,5,Independent
Gabriel Teodros & Amos Miller,5,Independent
Big Guitar,5,Warner Records
FakeLoveMusic,5,Independent
Majesty Music,5,Independent
moss cape,5,Independent
Beyond Unbroken,5,Universal Music Group
Pandana Records,5,Independent
Painful Scream Records,5,Universal Music Group
Best Laid Plans Records Ltd,5,Independent
Pagan Black Cult & Dark Whispers,5,Independent
Why Not Productions / Actes Prolétariens,5,Independent
Sonance,5,Independent
572833 Records DK,5,Independent
Son of Rust,5,Independent
Son Mieux,5,Independent
574297 Records DK,5,Independent
Son De Madagascar,5,Independent
572191 Records DK,5,Independent
Fadersport Records,5,Independent
Gamberros Pro.,5,Independent
Heat Recordings,5,Independent
nascar aloe,5,Independent
Best Beat Music,5,Independent
Bertus - Quadrofoon,5,Independent
LKVR Records,5,Independent
Gang Go Music,5,Independent
Pacific Coast Jazz,5,Universal Music Group
Berlioz,5,Independent
Hearts Fall For Danny Tanner,5,Independent
Factory Underground Records,5,Universal Music Group
Bermuda Entertainment Japan,5,Warner Records
LB Music,5,Sony Music Entertainment
I Am The Dot,5,Sony Music Entertainment
newscope records,5,Independent
Sonic Galore Records,5,Universal Music Group
Making New Enemies,5,Independent
Pacific Rim Nature Sounds,5,Warner Records
Danny Jones,5,Universal Music Group
LBC Gravações,5,Independent
Songwork,5,Independent
"Galén, spol. s r.o.",5,Warner Records
Something Else Records,5,Independent
571784 Records DK2,5,Independent
Wideawake - Death Row,5,Independent
Galilee of the Nations,5,Independent
Danger! Earthquake!,5,Independent
Between You & Me,5,Sony Music Entertainment
mt. marcy and friends,5,Independent
Wide Lode,5,Sony Music Entertainment
Palmiyeler,5,Independent
Solid Gold Corp.,5,Independent
Something Beautiful,5,Universal Music Group
Solid Bump Records,5,Universal Music Group
Pampeluna,5,Independent
Makana Music LLC,5,Independent
LIVE Recordings,5,Independent
LIVEWORKS COMPANY,5,Independent
Panda Funk Records,5,Independent
Solitary Tree Rec,5,Independent
Dangerous Muse,5,Warner Records
1762755 Records DK,5,Independent
Solothus,5,Independent
Solotoko,5,Independent
Solstice Rex,5,Universal Music Group
LIFEX Recordings,5,Independent
Soltrenz,5,Universal Music Group
"Som Entertainment, LLC",5,Sony Music Entertainment
Palace Of Lights,5,Independent
Some Call Us Heroes,5,Universal Music Group
Painted Word,5,Independent
LIBERA RECORDS,5,Warner Records
nagel heyer records,5,Independent
Make Wave,5,Independent
Heathen Apostles,5,Independent
LGW Publishing,5,Independent
587774 Records DK,5,Independent
Heart Music,5,Sony Music Entertainment
587781 Records DK,5,Independent
1557673 Records DK,5,Independent
puzzlehead,5,Independent
Deep Inside,5,Universal Music Group
Bad Vibes,5,Independent
Steezyasfuck,5,Independent
Steel Wool Records,5,Independent
Optimus Rhyme,5,Independent
Get the Curse Music,5,Universal Music Group
1555127 Records DK2,5,Independent
Badman Records,5,Independent
Well Done Entertainment in association with F.U. Pay Me Records,5,Independent
SteadyBoy Records,5,Universal Music Group
Opus Science Collective,5,Independent
FIVERIDGE MUSIC,5,Independent
Oques Grasses - Fourni Produccions - Satélite K,5,Independent
Deep Relaxation Studio,5,Universal Music Group
raskass.net,5,Independent
Bajande Records,5,Independent
602347 Records DK2,5,Independent
Hole House Records,5,Independent
Weird Eye Records,5,Universal Music Group
Gforce,5,Independent
Sterns Music,5,Independent
Open Productions,5,Independent
Weird Owl,5,Sony Music Entertainment
Gevel Productions,5,Sony Music Entertainment
Deep Rush,5,Independent
Stereo Breeze,5,Sony Music Entertainment
Deep Sound Channel,5,Independent
Deep Soul Music,5,Warner Records
Stephan Beneking,5,Independent
Openers/RCA Records,5,Sony Music Entertainment
Bad Music,5,Universal Music Group
Statra Recordings,5,Independent
Infra Progressive,5,Universal Music Group
Owen Bones,5,Independent
Wes Swing,5,Independent
Chit Chat Records®,5,Independent
Orangeira Music,5,Independent
Kompyla Records Ltd,5,Independent
Werf Records,5,Independent
Starhunter,5,Independent
FLORA,5,Sony Music Entertainment
Decaying Days,5,Independent
"Starstruck Records, LLC",5,Universal Music Group
Influence Records,5,Independent
Stardrive Studio,5,Independent
Konflikt,5,Independent
Starcrossed Media,5,Warner Records
Starbeat,5,Sony Music Entertainment
Hohhot Records,5,Independent
purity label,5,Independent
Orange Records,5,Independent
Deep Chill Studio,5,Universal Music Group
Orange Dog Productions,5,Universal Music Group
Balagan Box,5,Independent
State of the Art,5,Warner Records
Komarov Records,5,Independent
Orang Pertunjukan,5,Independent
Get Low Digital,5,Universal Music Group
Orange Blue Bros. Records,5,Warner Records
DeeVeeUs Records,5,Independent
Start from Scratch Records,5,Independent
Kommil Foo,5,Independent
State Ceremonial Music,5,Independent
Balearic,5,Independent
Starved Relations,5,Independent
Starter Records,5,Universal Music Group
Start the Stop Records,5,Independent
Hole In The Plot Productions,5,Independent
Backseat,5,Universal Music Group
Marfo Media,5,Independent
BUCIUM,5,Independent
Ingrid Michaelson,5,Independent
Ghost of the Russian Empire,5,Independent
OneSeventy,5,Independent
BSB Records,5,Independent
BSO Classics,5,Sony Music Entertainment
Story Baker Pty Ltd,5,Warner Records
Holger Records,5,Universal Music Group
One-Drop Music,5,Independent
Stories,5,Independent
Storie di Note,5,Independent
Knife Fight Media / KMG,5,Warner Records
Ba-Ba Music,5,Universal Music Group
StoneAge Records,5,Universal Music Group
FFRR/Big Beat,5,Warner Records
Strainge Entertainment - Reo,5,Universal Music Group
Strange Earth Records,5,Warner Records
Background Music Records,5,Independent
One Way Static Records,5,Independent
Degenerate Records,5,Independent
BOOTLEG TAPES,5,Sony Music Entertainment
BOOTS,5,Universal Music Group
Klownhouse Recordz,5,Independent
Klubb Död,5,Independent
Stranger Touch / Happy Parts,5,Universal Music Group
Defiance Records,5,Independent
Kneaded Pains,5,Independent
Ghostmeat Records,5,Independent
Kléa Music,5,Independent
Kmac2021,5,Independent
Marion-Lorraine,5,Independent
Strange Loop Records LLC,5,Sony Music Entertainment
regular_ish,5,Independent
Wears The Trousers Records,5,Independent
Only Pro,5,Independent
Baby Goes Records,5,Warner Records
605125 Records DK2,5,Independent
FGFC820,5,Independent
Ookla the Mok,5,Independent
Webmusic Publishing,5,Independent
Back On Dumaine Records,5,Independent
Headless Queen Records,5,Universal Music Group
redrec / sputniklab inc.,5,Independent
Maribiz Inc,5,Independent
Baby Gravy,5,Independent
Opal,5,Independent
Mariana Baltar,5,Warner Records
Opaque Music,5,Universal Music Group
BackWordz,5,Warner Records
Weerd Science Records,5,Universal Music Group
Open Concept Recordings,5,Independent
Bachata Heightz LLC,5,Independent
Stillbirth Records,5,Independent
Babylon Doom Cult Records,5,Independent
606214 Records DK,5,Independent
Ont' Sofa Records,5,Independent
Headfirst! Records/Dead Chemists Records,5,Independent
"Stinkface Music, LLC",5,Sony Music Entertainment
Baby Tone Lullaby Records,5,Universal Music Group
Hyperwelt Music,5,Independent
Kning Disk/Telegram Studios,5,Independent
Inglegod Entertainment,5,Independent
Stockfisch,5,Independent
Knights of Good,5,Universal Music Group
Ghost Ghost,5,Independent
Stockholm,5,Universal Music Group
Knife Hits Records,5,Independent
Deepfunk Records,5,Independent
Band,5,Independent
Wesley Sprayue,5,Independent
Star Island,5,Independent
Manivette Records,5,Independent
591350 Records DK,5,Independent
Mankind's Demise Records,5,Universal Music Group
Krissy D Ent./Beatstreet Inc.,5,Universal Music Group
1604277 Records DK,5,Independent
Spectra Jazz,5,Independent
Generation Prog Records,5,Independent
Dead Cat Bounce,5,Independent
Mano Music,5,Independent
1608959 Records DK,5,Independent
Special Blend Records,5,Universal Music Group
Battleships,5,Independent
Spec Music,5,Independent
Dead Art Records,5,Warner Records
FRESH Music,5,Universal Music Group
Speed of Dark Music,5,Sony Music Entertainment
Krik Music,5,Independent
Krap Records,5,Sony Music Entertainment
Basement Boys Records,5,Independent
Krapes / CdA Music Group,5,Independent
Base N Rebulz Entertainment/River Sity Alliance Inc,5,Independent
Baseline Music & Bengtsson & Wirfält,5,Sony Music Entertainment
Basement,5,Independent
Basement Apes,5,Sony Music Entertainment
Basement Birds,5,Independent
Basho Records,5,Universal Music Group
Dead Label,5,Universal Music Group
Deadbolt Records,5,Independent
piano and coffee records,5,Warner Records
Spheric Music,5,Universal Music Group
Oui lele,5,Independent
Speedy Wunderground / [PIAS],5,Independent
Manos da Música,5,Independent
Bayharbour,5,Independent
Bazanji,5,Sony Music Entertainment
Kryteria,5,Warner Records
587879 Records DK,5,Independent
Space Above Music,5,Independent
Gema,5,Sony Music Entertainment
Manic Static,5,Warner Records
Bean-Tone Records,5,Independent
Kult,5,Universal Music Group
Geltoob Records,5,Independent
Kult Records,5,Universal Music Group
589905 Records DK2,5,Independent
Bear Lake,5,Independent
Southern Whiskey Rebellion,5,Independent
Southern Rock Kid,5,Warner Records
Southern Rise,5,Universal Music Group
Db Records,5,Independent
Bears in Ushanka,5,Independent
Whatever Records,5,Universal Music Group
Overground,5,Independent
KuduKudu,5,Independent
Beachcoma Recordings,5,Warner Records
De La Pina,5,Sony Music Entertainment
FROM YOUTH TO DEATH RECORDS,5,Universal Music Group
BeMoD,5,Independent
Spacebound,5,Independent
Be One Music Inc.,5,Independent
Manifold Studio,5,Independent
Spacey Jane,5,Independent
peppermoon music,5,Independent
Hämatom GbR,5,Independent
Outlast Records,5,Independent
Dea Records,5,Independent
Krzysztof Piotr Borkusz,5,Independent
SparksFly Records,5,Warner Records
Mantonio Enterprises,5,Independent
Oskoreien,5,Independent
Star Boy Entertainment,5,Sony Music Entertainment
Western and 6th,5,Independent
Mar Music Rec,5,Sony Music Entertainment
Original Super Power,5,Independent
Originators,5,Independent
Infinity Pool Recordings,5,Independent
Western Pin-up Records,5,Independent
"Bank On It Entertainment, LLC",5,Independent
Orison Music,5,Independent
Stadiumred,5,Warner Records
Westfire Records,5,Independent
Orng Peel Laab,5,Independent
Squealer Music,5,Independent
Banoffee Pies,5,Independent
Square Tire Records,5,Independent
FMLY / Island Records,5,Universal Music Group
St.ripper Records,5,Independent
598979 Records DK,5,Independent
Spirit Journey Record,5,Universal Music Group
Orgasm Recs.,5,Independent
Wespo,5,Independent
Stangray Producciones,5,Independent
Standing Stones,5,Independent
Geros Muzikos Ekspertai,5,Independent
Standards,5,Independent
West Hill Radio Archives,5,Independent
Stand Alone Complex,5,Independent
Original Cultures,5,Independent
Bandcamp,5,Independent
Stampede Management,5,Independent
Stalight Temple Society,5,Independent
Bandleader Recordings - X5 Music Group,5,Independent
Bandolera Records,5,Universal Music Group
Bane of Winterstorm,5,Independent
Banter Media,5,Independent
Georgi Kay,5,Universal Music Group
Spyro Music,5,Universal Music Group
Wet Music,5,Universal Music Group
Manzana,5,Independent
Barlow,5,Warner Records
Barney Artist,5,Warner Records
Oscar Collin,5,Independent
Oscar Danielson,5,Universal Music Group
Oscar Key Sung,5,Independent
Spiritual Journey Records,5,Independent
Bara På Låtsas,5,Warner Records
Oscar Nine,5,Universal Music Group
Whale Shark Records,5,Independent
Gentle Recordings,5,Independent
Krake,5,Independent
FONOCAL,5,Independent
Hoffman West,5,Independent
Manzanilla MusicaDischi,5,Independent
Dean Fields,5,Sony Music Entertainment
Dean Street Records,5,Sony Music Entertainment
Weston Boys Entertainment/Haywood Group Productions,5,Independent
Bare Wires Recordings,5,Sony Music Entertainment
Bare Track Records,5,Universal Music Group
596079 Records DK,5,Independent
Bardo State Music,5,Warner Records
Barco,5,Independent
596461 Records DK,5,Independent
Dear Blanca,5,Independent
Barbarian Pipe Band,5,Universal Music Group
596589 Records DK,5,Independent
Spunk!,5,Universal Music Group
Baraka,5,Independent
George Maple,5,Universal Music Group
Orphaned Music,5,Sony Music Entertainment
Indie Drop Records,5,Universal Music Group
Sonic Attack,5,Sony Music Entertainment
Lifestyle Recordings,5,Independent
GOI,5,Universal Music Group
D.O.R.,5,Independent
Wirebird Records,5,Independent
Skrux Music,5,Sony Music Entertainment
D.MAX Recordings,5,Sony Music Entertainment
Pebble Records,5,Sony Music Entertainment
Mad Lab,5,Warner Records
Skunk,5,Universal Music Group
DJQ Management,5,Independent
Bla Bla,5,Sony Music Entertainment
"Larry Lovestein, LLC",5,Independent
Blind Authority,5,Universal Music Group
Peanuts and Corn Records,5,Independent
GNP Crescendo Records,5,Independent
Peacock Records Ltd,5,Universal Music Group
1958455 Records DK,5,Independent
Larva,5,Independent
Bizart S.r.l.,5,Independent
Fascinating Earthbound Objects,5,Warner Records
Blind Witness,5,Sony Music Entertainment
1961 Studio Live,5,Sony Music Entertainment
Phinehas LLC,5,Sony Music Entertainment
Lasers Edge,5,Independent
D-beat warriors,5,Independent
Peacefrog,5,Warner Records
lauderdalemusic.com,5,Independent
Farruko,5,Sony Music Entertainment
Philanthrope,5,Independent
PedigreeSonicUnderworld,5,Independent
Skinfather,5,Warner Records
Pelangi Records,5,Independent
jazzland recordings,5,Independent
jazz family,5,Universal Music Group
Labo T,5,Independent
Black Day In July/iHipHop Distribution,5,Warner Records
45ACIDBABIES,5,Independent
Faro Discos,5,Independent
Blazin’ Fiddles,5,Independent
Peer Pressure,5,Independent
Pedro Paulo e Alex,5,Independent
Silence Is a Virus,5,Independent
I Wear* Experiment,5,Independent
Phatt-Clapp,5,Independent
5000,5,Independent
Phebe Starr,5,Warner Records
Pheelco Entertainment,5,Independent
Black Candy Records,5,Independent
Sigourney Records,5,Warner Records
Farra Rap Records,5,Sony Music Entertainment
WiseUp & Co. / Blame The Label,5,Independent
Mad Monk,5,Warner Records
Label Mon Slip,5,Universal Music Group
Mad Decent PS (Bieber/Major Lazer),5,Universal Music Group
DME GmbH,5,Universal Music Group
DMF Music,5,Universal Music Group
Sleep Maps,5,Independent
Index Records,5,Independent
Pavel Dodonov,5,Independent
G. G. Pith,5,Independent
La Vendicion 2019,5,Independent
Hiob,5,Independent
DOWNTOWN SOUND,5,Independent
Siamese,5,Universal Music Group
PaulSeanProductions,5,Independent
Sialia Records,5,Independent
G-Swing,5,Independent
Sleep Thieves,5,Universal Music Group
Phorminx,5,Universal Music Group
in.mono,5,Universal Music Group
Paul Winley Records,5,Warner Records
Blocwize Ent/Killuminati Music Group,5,Independent
Birds of Tokyo Pty Ltd,5,Independent
Birdmask,5,Independent
La Tebwa,5,Sony Music Entertainment
Heike Records,5,Independent
Patti Pellerito and Bradford Smith,5,Independent
I.H. Music Productions,5,Independent
Sleeping Church Records,5,Universal Music Group
Indian Electronica,5,Independent
Birdy,5,Warner Records
D&D,5,Independent
"Familysong / Polystar co.,ltd.",5,Independent
Sleep Bright,5,Universal Music Group
52 Shakes Records,5,Universal Music Group
Familysong / Polystar,5,Independent
insaneintherainmusic,5,Independent
D-Niss,5,Independent
52 records,5,Independent
Slab-O-Wax Records,5,Independent
Slager,5,Independent
GOOD2MOVE MUSIC,5,Universal Music Group
Family and Friends,5,Warner Records
InPolySons,5,Independent
Index,5,Independent
Hip Groove Moves,5,Universal Music Group
Heavy Lungs,5,Independent
Slapp Addict Productions LLC,5,Independent
1895673 Records DK,5,Independent
PayRec,5,Independent
Magicbag,5,Independent
Blissful Sounds Records,5,Universal Music Group
Phonica White,5,Independent
I Never Loved Before I Found You,5,Warner Records
Sick Slaughterhouse,5,Independent
Family Mob Records,5,Independent
1980 Recordings,5,Universal Music Group
D2 Group,5,Warner Records
jon bryant,5,Independent
Woo Way Intuitive Healing Arts,5,Independent
Lancifer,5,Independent
GEOMETRY ltd,5,Independent
Perplexity Music,5,Independent
Laissez Faire Club Records,5,Universal Music Group
Pet Lions,5,Independent
Perpetual Victory Machine,5,Universal Music Group
Blackout 77,5,Independent
Lair Records,5,Sony Music Entertainment
Lain,5,Independent
Permanence Records,5,Universal Music Group
Fantom Limb Entertainment LLC,5,Independent
GJazz Records,5,Independent
Blackout Records,5,Independent
Black Devastation Records,5,Sony Music Entertainment
Black Star EUR,5,Independent
Sinrise Records,5,Independent
Black Sites,5,Independent
Madblush,5,Independent
kiti/NEWTOK,5,Independent
Silver Talon,5,Independent
GLASS TIDES,5,Universal Music Group
DESKPOP,5,Independent
Black Shadow Records,5,Independent
Period Records,5,Independent
4ALL PRODUCTION s.r.o.,5,Warner Records
GIMMESHELTER,5,Sony Music Entertainment
Perras on the beach,5,Warner Records
Black Umbrella,5,Universal Music Group
Sindrandi,5,Independent
Simon Viklund,5,Universal Music Group
Blackbird Production Partners LLC,5,Independent
Blackbird Music,5,Universal Music Group
Simon Daum,5,Independent
Simplekill,5,Independent
Blackbean & Placenta Tape Club,5,Independent
"Simply Grand Music, Inc.",5,Warner Records
BlackOut Studios,5,Universal Music Group
Perspectives Digital,5,Independent
Simba Recordings,5,Independent
Simplyred.com,5,Independent
DDK Group,5,Independent
Perspex Recordings,5,Independent
Within Wolves,5,Universal Music Group
Black Whales,5,Sony Music Entertainment
5 Music,5,Warner Records
Blackhouse,5,Independent
Silvia Hrachová,5,Independent
1923560 Records DK,5,Independent
Black Voodoo,5,Independent
Black Victory,5,Independent
DCD2 / Crush Music,5,Warner Records
Heavyweight Records / EMPIRE,5,Independent
Farb-Ton Records,5,Universal Music Group
kitsch + glitch records,5,Independent
GLM,5,Independent
Pentar Records,5,Independent
PentaCat Records LLC,5,Independent
Hiphiphip,5,Independent
Petridish,5,Universal Music Group
Lansdowne Entertainment Inc.,5,Independent
Hirokwa Music,5,Independent
Wolfrik,5,Independent
Blastard Entertainment,5,Warner Records
Sk pro,5,Independent
Blastoise,5,Independent
Silent Line,5,Warner Records
Skandalmusik,5,Independent
50 Skidillion Watts/Dutch East,5,Independent
Skaters Records,5,Independent
Skaur,5,Independent
Black Hearts & Pink Parts,5,Independent
"PelleK, Erock & Cole Rolland",5,Independent
latinos Hits Label,5,Sony Music Entertainment
Fanfare,5,Independent
Skies Ablaze,5,Independent
Black Drone,5,Warner Records
Lantower Records,5,Independent
"Skin Music Ireland, LTD.",5,Independent
Blau Records,5,Independent
Sixty6Music,5,Sony Music Entertainment
language of stone / sve productions,5,Independent
Blacksoul Seraphim,5,Independent
Inapeace Ltd,5,Independent
DEVISHOT,5,Universal Music Group
PerfectoComps,5,Independent
With Crown and Tail,5,Independent
Perfect Toy,5,Independent
With Beating Hearts LLC,5,Warner Records
Silver Spot,5,Universal Music Group
"Madscience, LLC",5,Independent
Witchking,5,Independent
Blacktape,5,Independent
People Teeth,5,Universal Music Group
Blackwing Music,5,Independent
Maestro Morte,5,Independent
Silver Bear Recordings,5,Independent
josh pan,5,Independent
Petit Lion Productions,5,Independent
Sisters of Your Sunshine Vapor,5,Universal Music Group
lady danville,5,Independent
DIVIDE MGMT.,5,Independent
Lademoen Punkforening,5,Independent
Silk City Records,5,Sony Music Entertainment
Lacrima Records,5,Universal Music Group
Mag Mag,5,Independent
Black Nail Cabaret,5,Independent
Sleeping Giant Music,5,Sony Music Entertainment
Sickmade Records,5,Warner Records
Blackcrowned Records,5,Independent
Machuca,5,Independent
Blue Bucket Records,5,Independent
Shocking Pinks,5,Sony Music Entertainment
Piano Classics/ BHC Instrumental,5,Independent
Pastel Prod,5,Independent
La Chicana,5,Independent
4 Horsemen of the Apocalypse,5,Independent
Smile Empty Music Inc,5,Independent
La Musica,5,Universal Music Group
Bingoboys,5,Independent
Show Time Music Production,5,Independent
Machu Picchu Ltd.,5,Independent
Password Records,5,Independent
Da Project,5,Universal Music Group
Cutthroat Shamrock,5,Independent
1986,5,Independent
Late Nite Reading,5,Independent
Shock Street,5,Warner Records
Cyor Sound,5,Independent
DaFne Music,5,Independent
DR뮤직,5,Independent
Shnok Ltd.,5,Independent
Pia Mia Recordings,5,Sony Music Entertainment
Slit Jockey Records,5,Universal Music Group
PiaRRecords,5,Independent
56 Stuff,5,Universal Music Group
Bionic Jive Entertainment LLC,5,Sony Music Entertainment
Färlev Records,5,Independent
Bionic Jive,5,Universal Music Group
Pastoral,5,Independent
Cypisolo,5,Independent
Pianista Records,5,Independent
Fallen Joy,5,Universal Music Group
Patent Skillz,5,Independent
551221 Records DK,5,Independent
Pat's Record Company,5,Universal Music Group
Biologic Records,5,Independent
La Coneja Ciega,5,Independent
William Burroughs Communications,5,Universal Music Group
Party Guy Records,5,Independent
machineria,5,Independent
Smackdown Records/Columbia,5,Sony Music Entertainment
Late Century Records,5,Sony Music Entertainment
Billion Dollar Baby/Interscope Records,5,Universal Music Group
Pikes Records,5,Independent
DVX - Estúdio,5,Independent
DZA(US)/Femme Metal(UK),5,Independent
Woodsist / Fusetron,5,Independent
Pas De Disx,5,Independent
"Passion Music, Ltd. / Hypnotic Records",5,Independent
Cwb Music,5,Independent
Small Sur,5,Independent
CyberDen,5,Universal Music Group
Cyanide Records,5,Independent
Bill $aber,5,Independent
Parvaaz Music Private Limited,5,Independent
La Fattoria del Moro Publishing srl,5,Independent
Bikes & Bonfires LLC,5,Universal Music Group
maeby music,5,Independent
Pickering Pick,5,Independent
Cyclic Records,5,Universal Music Group
Slow Shark/VME,5,Universal Music Group
La Cúpula Music,5,Sony Music Entertainment
Bloodwork Records,5,Independent
Bin Liner,5,Independent
La Madriguera Records|Subterfuge Records,5,Independent
Passion & Divine,5,Universal Music Group
Billo Music,5,Independent
La Leyenda LLC,5,Sony Music Entertainment
Piano Squall,5,Universal Music Group
Cygnets,5,Independent
Bloody Sound Fucktory,5,Independent
558650 Records DK2,5,Independent
Pasion Independent Records,5,Independent
Woods of Desolation,5,Warner Records
Falloch,5,Independent
560201 Records DK,5,Independent
Fémina,5,Independent
SmallTime,5,Independent
DROP C#Records,5,Independent
Sneakers Muzik,5,Sony Music Entertainment
Blue Devils Mediabox,5,Independent
Pineapple Digital,5,Independent
Machine Entertainment Group,5,Warner Records
Biosystem55,5,Independent
Daedric Tales,5,Independent
Shiny Boy Music LLC,5,Sony Music Entertainment
Shuta Hasunuma Philharmonic Orchestra,5,Independent
Smp Music,5,Independent
Heavenly Recordings/ Cooperative Music,5,Independent
lvr,5,Independent
Bir Numara Müzik,5,Independent
Current Taste,5,Universal Music Group
Fall Records,5,Independent
DROP C# RECORDS,5,Independent
Czaszka Records,5,Independent
Wildtuck Entertainment,5,Independent
1856186 Records DK2,5,Independent
La Balacera,5,Independent
PatrickReza,5,Universal Music Group
GRANDLINE,5,Independent
"DROP ""C"" RECORDS",5,Independent
Wing Sing Records,5,Independent
DRMCLB RECORDS / COSA NOSTRA MUSIC,5,Independent
luovo,5,Independent
Snailhouse Institute For The Recording Arts,5,Independent
Smooch Records,5,Sony Music Entertainment
SmokeOuts Music,5,Universal Music Group
561668 Records DK,5,Independent
Blue Crystal Records / Athens Of The North,5,Universal Music Group
Fast Youth,5,Universal Music Group
Phuzion Records,5,Independent
lvto,5,Independent
Big Pump Records,5,Independent
GTUK,5,Independent
La Records,5,Sony Music Entertainment
Pi'erre Bourne (Playboi Carti) PS,5,Universal Music Group
La Brava Music,5,Independent
cinderblockrecords.com,4,Universal Music Group
Word Up Records,4,Universal Music Group
rockwell product shop,4,Independent
Virgin Budget,4,Universal Music Group
Wroth Emitter,4,Independent
pikstudio,4,Independent
Wolfgang Snow,4,Independent
Zero Fatigue,4,Independent
[PIAS] America,4,Independent
Ides Of March,4,Warner Records
Zed Records,4,Independent
[PIAS] Belgium,4,Independent
Human Music,4,Universal Music Group
Ian Alvarez Productions,4,Independent
Volcano Hits Entertainment,4,Independent
We Got Songs,4,Universal Music Group
Italove,4,Independent
梦响当然,4,Warner Records
Wytch Hazel,4,Independent
Intromúsica Records,4,Independent
WorkShow,4,Independent
Zero Youth Records,4,Sony Music Entertainment
We Are Match,4,Sony Music Entertainment
redwall MUSIC,4,Independent
pirisound,4,Independent
Virgin Classics,4,Universal Music Group
We Release Jazz,4,Independent
In-Telligance,4,Independent
Working Girl Records,4,Independent
VAGUE003,4,Independent
Ingot Rock,4,Independent
IZWID,4,Independent
In My Despair,4,Universal Music Group
Wolfgang's Vault,4,Universal Music Group
Hysteria Records,4,Independent
Violenta Records/A&CMX,4,Independent
Коррозия металла,4,Sony Music Entertainment
Hukkunud Hinged,4,Independent
드림팩토리클럽,4,Independent
Hux Records,4,Universal Music Group
WeMe Music,4,Universal Music Group
Workers United Records,4,Independent
Infinity,4,Independent
Vaeda,4,Independent
Wolf Eyes,4,Warner Records
Wolfgang Lohr,4,Independent
WeGrowWax,4,Independent
Wuante,4,Independent
acropolisRPM,4,Independent
Human Resources,4,Independent
"Word, Inc / The Acappella Company",4,Warner Records
Houdinne Records,4,Independent
Innerstate Records LLC,4,Sony Music Entertainment
Zen La,4,Independent
secretsundaze,4,Independent
ruzone,4,Independent
Wolf Project,4,Sony Music Entertainment
Warner Records/Best Laid Plans,4,Warner Records
brandnewmusic,4,Warner Records
Work Records,4,Warner Records
iapetus records,4,Independent
Zemmporio Records,4,Universal Music Group
We Were Giants,4,Warner Records
Whale Tooth Records,4,Universal Music Group
Work In Progress,4,Warner Records
plop,4,Independent
suntraxxmusic,4,Independent
We're Here Records,4,Warner Records
Vrykoblast Productions,4,Independent
风华秋实,4,Independent
Vale of Miscreation,4,Independent
a3 Music,4,Independent
Idealism Inc.,4,Independent
"self-released (CD), Antithetic Records (LP)",4,Independent
Hotspot,4,Independent
k.entertainment,4,Independent
I.T.P. Records,4,Warner Records
Vrasubatlat,4,Independent
Warren Records,4,Independent
Vulkano,4,Universal Music Group
Zero Claim Records,4,Universal Music Group
I/O Music,4,Universal Music Group
Vagrant,4,Warner Records
Zeon,4,Universal Music Group
In Love With A Ghost,4,Independent
Vudu Sister,4,Sony Music Entertainment
play records,4,Independent
드림티엔터테인먼트(Dreamt entertainment),4,Independent
더늠이엔티,4,Independent
Wyrd Records,4,Independent
Westside,4,Independent
subtract music,4,Independent
plusGROUND,4,Independent
Valeot Records,4,Independent
In the Balance Records,4,Universal Music Group
Itation Records,4,Independent
cabbage content,4,Independent
Zen Mindwaves,4,Universal Music Group
Violin,4,Independent
